"c","photoperiod","photo_difference","temperature_difference","flow","flow_difference","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","delta_aicc","deltaAICc","rel.LL","weights","cumulative_weights"
" temp_diff lunar_phase flow_diff",0,0,1,0,1,1,0,-1354.85961698199,2782.31717210831,35,92,TRUE,45.27,45.2663956410615,0,0,1
" photo_diff lunar_phase flow_diff",0,1,0,0,1,1,0,-1355.02409572251,2782.64612958935,35,89,TRUE,45.6,45.5953531221062,0,0,1
" photo_diff temp_diff lunar_phase flow_diff",0,1,1,0,1,1,0,-1354.82971905672,2784.40866411964,36,118,TRUE,47.36,47.3578876523929,0,0,1
" photo_diff coho1_hatchery_perhour_interpolate",0,1,0,0,0,0,1,-1358.31926568528,2789.23646951489,35,78,TRUE,52.19,52.1856930476501,0,0,1
" photo_diff temp_diff coho1_hatchery_perhour_interpolate",0,1,1,0,0,0,1,-1357.98829847088,2790.72582294795,36,88,TRUE,53.68,53.6750464807069,0,0,1
" photo_diff lunar_phase coho1_hatchery_perhour_interpolate",0,1,0,0,0,1,1,-1358.25528371357,2791.25979343334,36,89,TRUE,54.21,54.2090169660955,0,0,1
" coho1_hatchery_perhour_interpolate",0,0,0,0,0,0,1,-1360.83477782513,2792.12063700969,34,92,TRUE,55.07,55.0698605424413,0,0,1
" photo_diff temp_diff lunar_phase coho1_hatchery_perhour_interpolate",0,1,1,0,0,1,1,-1357.91987152803,2792.74470173374,37,94,TRUE,55.69,55.6939252664947,0,0,1
"none",0,0,0,0,0,0,0,-1363.3940034119,2792.95861319585,32,68,TRUE,55.91,55.9078367286029,0,0,1
" photo_diff",0,1,0,0,0,0,0,-1362.85186881073,2794.01237959677,33,66,TRUE,56.96,56.9616031295259,0,0,1
" temp_diff coho1_hatchery_perhour_interpolate",0,0,1,0,0,0,1,-1360.79455433334,2794.18704681102,35,80,TRUE,57.14,57.136270343774,0,0,1
" lunar_phase coho1_hatchery_perhour_interpolate",0,0,0,0,0,1,1,-1360.80742582507,2794.21278979446,35,77,TRUE,57.16,57.1620133272199,0,0,1
" temp_diff",0,0,1,0,0,0,0,-1363.29103284259,2794.8907076605,33,87,TRUE,57.84,57.8399311932531,0,0,1
" lunar_phase",0,0,0,0,0,1,0,-1363.37579154677,2795.06022506885,33,72,TRUE,58.01,58.0094486016096,0,0,1
" photo_diff temp_diff",0,1,1,0,0,0,0,-1362.60348901625,2795.65805939193,34,70,TRUE,58.61,58.6072829246837,0,0,1
" photo_diff lunar_phase",0,1,0,0,0,1,0,-1362.82819294031,2796.10746724005,34,95,TRUE,59.06,59.0566907728089,0,0,1
" temp_diff lunar_phase coho1_hatchery_perhour_interpolate",0,0,1,0,0,1,1,-1360.76711878638,2796.28346357894,36,96,TRUE,59.23,59.2326871117007,0,0,1
" temp_diff lunar_phase",0,0,1,0,0,1,0,-1363.27249393984,2796.9960692391,34,91,TRUE,59.95,59.9452927718594,0,0,1
" photo_diff temp_diff lunar_phase",0,1,1,0,0,1,0,-1362.57825442269,2797.75444698971,35,81,TRUE,60.7,60.7036705224641,0,0,1
